id,start,end,text,file
27,90.84,93.44, And you can see here that this video has come.,"10 _Video, Audio & Media in HTML .mp3.json"
28,93.44,95.76, Now it is a very big video.,"10 _Video, Audio & Media in HTML .mp3.json"
29,95.76,96.6, So what can I do?,"10 _Video, Audio & Media in HTML .mp3.json"
30,96.6,98.24000000000001, I can give its width.,"10 _Video, Audio & Media in HTML .mp3.json"
31,98.24000000000001,101.84, So I can say here width is equal to 555 pixels.,"10 _Video, Audio & Media in HTML .mp3.json"
32,101.84,105.68," And as soon as I do 555 pixels, in fact, I don't need to write px.","10 _Video, Audio & Media in HTML .mp3.json"
33,105.68,106.8, I will only do 555.,"10 _Video, Audio & Media in HTML .mp3.json"
34,106.8,109.32000000000001, Like we don't need to write px in the image.,"10 _Video, Audio & Media in HTML .mp3.json"
35,109.32000000000001,111.68, We don't need to write px here either.,"10 _Video, Audio & Media in HTML .mp3.json"
36,111.68,114.36," So as soon as I did width is equal to 555,","10 _Video, Audio & Media in HTML .mp3.json"
37,114.36,117.48," in fact, I do one thing, I do height is equal to 555","10 _Video, Audio & Media in HTML .mp3.json"
38,117.48,118.92, so that it gets smaller.,"10 _Video, Audio & Media in HTML .mp3.json"
39,118.92,120.12," In fact, I make it smaller.","10 _Video, Audio & Media in HTML .mp3.json"
40,120.12,121.68, I make it 255.,"10 _Video, Audio & Media in HTML .mp3.json"
41,121.68,122.92, And you see it came here.,"10 _Video, Audio & Media in HTML .mp3.json"
42,122.92,125.2," Okay, now I play it because I have taken control.","10 _Video, Audio & Media in HTML .mp3.json"
43,125.2,126.24, I can play it.,"10 _Video, Audio & Media in HTML .mp3.json"
44,126.24,128.32," Look here, there is a better road than America.","10 _Video, Audio & Media in HTML .mp3.json"
45,128.32,129.56, What name did you tell?,"10 _Video, Audio & Media in HTML .mp3.json"
46,129.56,130.4, Gopindra Jogi.,"10 _Video, Audio & Media in HTML .mp3.json"
47,130.4,131.24, Where have you been in the US?,"10 _Video, Audio & Media in HTML .mp3.json"
48,131.24,132.4, I have been to many places in the US.,"10 _Video, Audio & Media in HTML .mp3.json"
49,132.4,132.96, Name?,"10 _Video, Audio & Media in HTML .mp3.json"
50,132.96,133.76, Gopindra Jogi.,"10 _Video, Audio & Media in HTML .mp3.json"
51,133.76,135.72, Hahaha.,"10 _Video, Audio & Media in HTML .mp3.json"
52,135.72,138.28," The thing is, you can play the video like this.","10 _Video, Audio & Media in HTML .mp3.json"
53,138.28,140.32, Now there are some attributes of the video tag here.,"10 _Video, Audio & Media in HTML .mp3.json"
54,140.32,142.0, It is very simple to use the video tag.,"10 _Video, Audio & Media in HTML .mp3.json"
55,142.0,143.36, You should have a video.,"10 _Video, Audio & Media in HTML .mp3.json"
56,143.36,144.92000000000002, You have given the path of the video.,"10 _Video, Audio & Media in HTML .mp3.json"
57,144.92000000000002,146.12," After that, you have given the controls.","10 _Video, Audio & Media in HTML .mp3.json"
58,146.12,147.76000000000002, So these controls will come to you.,"10 _Video, Audio & Media in HTML .mp3.json"
59,147.76000000000002,148.96, You can download it.,"10 _Video, Audio & Media in HTML .mp3.json"
60,148.96,149.84, You can do full screen.,"10 _Video, Audio & Media in HTML .mp3.json"
61,149.84,151.12, You can mute.,"10 _Video, Audio & Media in HTML .mp3.json"
62,151.12,152.68, You can do picture in picture.,"10 _Video, Audio & Media in HTML .mp3.json"
63,152.68,154.8, All this is automatically provided by your browser.,"10 _Video, Audio & Media in HTML .mp3.json"
64,154.8,156.32000000000002, But let me tell you about some attributes.,"10 _Video, Audio & Media in HTML .mp3.json"
65,156.32000000000002,157.64000000000001, The first attribute is SRC.,"10 _Video, Audio & Media in HTML .mp3.json"
66,157.64000000000001,160.24, So you know that put the video here.,"10 _Video, Audio & Media in HTML .mp3.json"
67,160.24,161.88000000000002, The name of the video file is SRC.,"10 _Video, Audio & Media in HTML .mp3.json"
68,161.88000000000002,164.84, This video file can also come from the external URL.,"10 _Video, Audio & Media in HTML .mp3.json"
69,164.84,165.44000000000003, You understand?,"10 _Video, Audio & Media in HTML .mp3.json"
70,165.44000000000003,168.92000000000002," That is, if I have uploaded a video on Amazon S3 or somewhere else,","10 _Video, Audio & Media in HTML .mp3.json"
71,168.92000000000002,170.52, then I can also put the URL there.,"10 _Video, Audio & Media in HTML .mp3.json"
72,170.52,172.8," I mean, it is not necessary that the file is in your computer.","10 _Video, Audio & Media in HTML .mp3.json"
73,172.8,174.24, It can also be on your server.,"10 _Video, Audio & Media in HTML .mp3.json"
74,174.24,175.92000000000002, It can also come from third party.,"10 _Video, Audio & Media in HTML .mp3.json"
75,175.92000000000002,177.24, Now what does the controls do?,"10 _Video, Audio & Media in HTML .mp3.json"
76,177.24,179.60000000000002," Adds video controls like play, pause, and volume.","10 _Video, Audio & Media in HTML .mp3.json"
77,179.60000000000002,182.36, Which we saw here in the Bhopendra Jogi video.,"10 _Video, Audio & Media in HTML .mp3.json"
78,182.36,185.48000000000002, That you are getting the controls here.,"10 _Video, Audio & Media in HTML .mp3.json"
79,185.48000000000002,187.24, Now what is this thing?,"10 _Video, Audio & Media in HTML .mp3.json"
80,187.24,188.72, The browser automatically checks,"10 _Video, Audio & Media in HTML .mp3.json"
81,188.72,191.84," what control ads will be in your video, what will not be.","10 _Video, Audio & Media in HTML .mp3.json"
82,191.84,193.04000000000002, Then see what will autoplay do?,"10 _Video, Audio & Media in HTML .mp3.json"
83,193.04000000000002,195.24, It will automatically play as soon as the page loads.,"10 _Video, Audio & Media in HTML .mp3.json"
84,195.24,195.8, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
85,195.8,197.12," So if I put autoplay here,","10 _Video, Audio & Media in HTML .mp3.json"
86,197.12,198.4, let's say I put autoplay here.,"10 _Video, Audio & Media in HTML .mp3.json"
87,198.4,199.88000000000002, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
88,199.92,202.32, So see.,"10 _Video, Audio & Media in HTML .mp3.json"
89,202.32,205.72, So you can see here that it has been autoplayed.,"10 _Video, Audio & Media in HTML .mp3.json"
90,205.72,206.28, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
91,206.28,207.88, So I will remove autoplay from here.,"10 _Video, Audio & Media in HTML .mp3.json"
92,207.88,210.68, And our next attribute is loop.,"10 _Video, Audio & Media in HTML .mp3.json"
93,210.68,214.68," That is, once our video is played,","10 _Video, Audio & Media in HTML .mp3.json"
94,214.68,216.07999999999998, it will keep looping.,"10 _Video, Audio & Media in HTML .mp3.json"
95,216.07999999999998,217.56, Like I show you.,"10 _Video, Audio & Media in HTML .mp3.json"
96,220.48,221.4, So it started again.,"10 _Video, Audio & Media in HTML .mp3.json"
97,221.4,224.48," Once I finished it, it started again.","10 _Video, Audio & Media in HTML .mp3.json"
98,224.48,224.8, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
99,224.8,227.4, So this loop works like this.,"10 _Video, Audio & Media in HTML .mp3.json"
100,227.4,228.8, The next attribute is muted.,"10 _Video, Audio & Media in HTML .mp3.json"
101,228.8,230.20000000000002, Muted mutes the video.,"10 _Video, Audio & Media in HTML .mp3.json"
102,230.20000000000002,232.0," So if I write here muted,","10 _Video, Audio & Media in HTML .mp3.json"
103,232.0,233.68, sometimes we want the video to be muted.,"10 _Video, Audio & Media in HTML .mp3.json"
104,233.68,237.12," In fact, when I add videos here on codewithhari.com","10 _Video, Audio & Media in HTML .mp3.json"
105,237.12,238.52," and I demonstrate something,","10 _Video, Audio & Media in HTML .mp3.json"
106,238.52,240.32000000000002," like downloading VS Code or something,","10 _Video, Audio & Media in HTML .mp3.json"
107,240.32000000000002,242.0, then I use the muted attribute.,"10 _Video, Audio & Media in HTML .mp3.json"
108,242.0,244.20000000000002," Because I don't want that when I record a video,","10 _Video, Audio & Media in HTML .mp3.json"
109,244.20000000000002,246.20000000000002," if there is any background noise, you can hear it.","10 _Video, Audio & Media in HTML .mp3.json"
110,246.20000000000002,248.64000000000001," For example, I want to show you that this is the element.","10 _Video, Audio & Media in HTML .mp3.json"
111,248.64000000000001,250.16000000000003, So I will scroll and make a video.,"10 _Video, Audio & Media in HTML .mp3.json"
112,250.16000000000003,251.56, I will highlight it like this.,"10 _Video, Audio & Media in HTML .mp3.json"
113,251.56,252.60000000000002, So I don't need audio in it.,"10 _Video, Audio & Media in HTML .mp3.json"
114,252.60000000000002,254.20000000000002, So I mute it.,"10 _Video, Audio & Media in HTML .mp3.json"
115,254.20000000000002,257.8, So you can use the muted attribute on your website.,"10 _Video, Audio & Media in HTML .mp3.json"
116,257.8,258.44, Then the poster.,"10 _Video, Audio & Media in HTML .mp3.json"
117,258.44,259.68, The poster is very important.,"10 _Video, Audio & Media in HTML .mp3.json"
118,259.68,261.6, So I have an image here.,"10 _Video, Audio & Media in HTML .mp3.json"
119,261.6,262.8, Download.jpg.,"10 _Video, Audio & Media in HTML .mp3.json"
120,262.8,263.40000000000003, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
121,263.40000000000003,266.12, If I write here poster is equal to,"10 _Video, Audio & Media in HTML .mp3.json"
122,266.12,268.04," and I write download.jpg,","10 _Video, Audio & Media in HTML .mp3.json"
123,268.04,269.96000000000004, then you will see something like this.,"10 _Video, Audio & Media in HTML .mp3.json"
124,269.96000000000004,270.2, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
125,270.2,271.2, This is how the poster looks.,"10 _Video, Audio & Media in HTML .mp3.json"
126,271.2,272.48, Then I will play it.,"10 _Video, Audio & Media in HTML .mp3.json"
127,272.48,273.56, So the video will play.,"10 _Video, Audio & Media in HTML .mp3.json"
128,273.56,274.6," So in a way, thumbnail.","10 _Video, Audio & Media in HTML .mp3.json"
129,274.6,274.84000000000003, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
130,274.84000000000003,276.40000000000003," You saw the thumbnail of the YouTube video, right?","10 _Video, Audio & Media in HTML .mp3.json"
131,276.40000000000003,276.96000000000004, It's exactly the same.,"10 _Video, Audio & Media in HTML .mp3.json"
132,276.96000000000004,278.40000000000003, This is the poster attribute.,"10 _Video, Audio & Media in HTML .mp3.json"
133,278.40000000000003,280.88, So you can use all these attributes.,"10 _Video, Audio & Media in HTML .mp3.json"
134,280.88,281.6, Width and height.,"10 _Video, Audio & Media in HTML .mp3.json"
135,281.6,284.36, You know that it specifies the dimension of the video.,"10 _Video, Audio & Media in HTML .mp3.json"
136,284.36,286.2, Like I added both width and height here.,"10 _Video, Audio & Media in HTML .mp3.json"
137,286.2,287.16, You saw.,"10 _Video, Audio & Media in HTML .mp3.json"
138,287.16,290.44, So I hope you understood this thing.,"10 _Video, Audio & Media in HTML .mp3.json"
139,290.44,293.88000000000005," Now, the thing I want to tell you after this is audio.","10 _Video, Audio & Media in HTML .mp3.json"
140,293.88000000000005,296.04, So this is for all the attributes of your video.,"10 _Video, Audio & Media in HTML .mp3.json"
141,296.04,297.08000000000004, It's very straightforward.,"10 _Video, Audio & Media in HTML .mp3.json"
142,297.08000000000004,299.48, I want you to make a good website.,"10 _Video, Audio & Media in HTML .mp3.json"
143,299.48,302.04, Which I am going to give you at the end of this video.,"10 _Video, Audio & Media in HTML .mp3.json"
144,302.04,302.64000000000004, In quick quiz.,"10 _Video, Audio & Media in HTML .mp3.json"
145,302.64000000000004,304.16, So listen to the quick quiz.,"10 _Video, Audio & Media in HTML .mp3.json"
146,304.16,305.56," In fact, I will put the heading here.","10 _Video, Audio & Media in HTML .mp3.json"
147,305.56,306.52000000000004, Quick quiz.,"10 _Video, Audio & Media in HTML .mp3.json"
148,306.52000000000004,307.36, Okay?,"10 _Video, Audio & Media in HTML .mp3.json"
149,307.36,309.64000000000004, So that I don't forget.,"10 _Video, Audio & Media in HTML .mp3.json"
150,309.64000000000004,310.72, I will give you this now.,"10 _Video, Audio & Media in HTML .mp3.json"
151,310.72,312.20000000000005, And this is going to be a very interesting quiz.,"10 _Video, Audio & Media in HTML .mp3.json"
152,312.20000000000005,313.48, And everyone must solve it.,"10 _Video, Audio & Media in HTML .mp3.json"
153,313.48,316.20000000000005, But before that.,"10 _Video, Audio & Media in HTML .mp3.json"
154,316.24,317.32, As soon as you write audio.,"10 _Video, Audio & Media in HTML .mp3.json"
155,317.32,318.28, Here comes SRC.,"10 _Video, Audio & Media in HTML .mp3.json"
156,318.28,321.03999999999996, And I have to put it in sachin.mp3.,"10 _Video, Audio & Media in HTML .mp3.json"
157,321.03999999999996,323.15999999999997, So as soon as I put it in sachin.mp3.,"10 _Video, Audio & Media in HTML .mp3.json"
158,323.15999999999997,323.92, Now see here.,"10 _Video, Audio & Media in HTML .mp3.json"
159,323.92,325.4, I will reload it.,"10 _Video, Audio & Media in HTML .mp3.json"
160,325.4,327.15999999999997, And there is no audio here.,"10 _Video, Audio & Media in HTML .mp3.json"
161,327.15999999999997,327.88, Which is strange.,"10 _Video, Audio & Media in HTML .mp3.json"
162,327.88,329.68, Let's see what the problem is here.,"10 _Video, Audio & Media in HTML .mp3.json"
163,329.68,331.2, I put SRC is equal to.,"10 _Video, Audio & Media in HTML .mp3.json"
164,331.2,333.36, I have to write controls here too.,"10 _Video, Audio & Media in HTML .mp3.json"
165,333.36,334.44, So if I don't write controls.,"10 _Video, Audio & Media in HTML .mp3.json"
166,334.44,335.44, Then I won't see the audio.,"10 _Video, Audio & Media in HTML .mp3.json"
167,335.44,336.48," See, now the audio has come.","10 _Video, Audio & Media in HTML .mp3.json"
168,336.48,337.52, I can see the controls here.,"10 _Video, Audio & Media in HTML .mp3.json"
169,337.52,339.08, I can also set its volume.,"10 _Video, Audio & Media in HTML .mp3.json"
170,339.08,340.59999999999997, I play this audio.,"10 _Video, Audio & Media in HTML .mp3.json"
171,340.59999999999997,342.4, What is Sachin in Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
172,342.4,343.59999999999997, Is it a stupid Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
173,343.59999999999997,344.03999999999996, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
174,344.03999999999996,345.03999999999996, So this is our audio.,"10 _Video, Audio & Media in HTML .mp3.json"
175,345.04,346.04, If I mute it and run it.,"10 _Video, Audio & Media in HTML .mp3.json"
176,346.04,346.64000000000004, Then it won't work.,"10 _Video, Audio & Media in HTML .mp3.json"
177,346.64000000000004,347.64000000000004, And I can also increase it further.,"10 _Video, Audio & Media in HTML .mp3.json"
178,347.64000000000004,349.04, Is it a stupid Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
179,349.04,349.48, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
180,349.48,350.28000000000003, You guys have seen.,"10 _Video, Audio & Media in HTML .mp3.json"
181,350.28000000000003,352.04, So this is audio named sachin.mp3.,"10 _Video, Audio & Media in HTML .mp3.json"
182,352.04,353.04, Now what we will do.,"10 _Video, Audio & Media in HTML .mp3.json"
183,353.04,354.04, That.,"10 _Video, Audio & Media in HTML .mp3.json"
184,354.04,356.04, We will see some attributes of this audio.,"10 _Video, Audio & Media in HTML .mp3.json"
185,356.04,357.04, SRC you know.,"10 _Video, Audio & Media in HTML .mp3.json"
186,357.04,359.04, Source of the video file.,"10 _Video, Audio & Media in HTML .mp3.json"
187,359.04,359.64000000000004, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
188,359.64000000000004,361.44, Then after this you know the controls.,"10 _Video, Audio & Media in HTML .mp3.json"
189,361.44,362.44," Play, pause and volume.","10 _Video, Audio & Media in HTML .mp3.json"
190,362.44,363.44, Which we just saw.,"10 _Video, Audio & Media in HTML .mp3.json"
191,363.44,364.64000000000004, What will autoplay do?,"10 _Video, Audio & Media in HTML .mp3.json"
192,364.64000000000004,365.92, It will play it automatically.,"10 _Video, Audio & Media in HTML .mp3.json"
193,365.92,367.44, If I have here.,"10 _Video, Audio & Media in HTML .mp3.json"
194,367.44,368.44, Autoplay.,"10 _Video, Audio & Media in HTML .mp3.json"
195,368.44,369.64000000000004, What is Sachin in Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
196,369.64000000000004,370.64000000000004, It will play automatically.,"10 _Video, Audio & Media in HTML .mp3.json"
197,370.64000000000004,371.64000000000004, Is it a stupid Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
198,371.64000000000004,373.44, So what does it do by autoplaying?,"10 _Video, Audio & Media in HTML .mp3.json"
199,373.44,375.44, So our audio is automatically played.,"10 _Video, Audio & Media in HTML .mp3.json"
200,375.44,376.44, After this.,"10 _Video, Audio & Media in HTML .mp3.json"
201,376.44,377.44, The next attribute is.,"10 _Video, Audio & Media in HTML .mp3.json"
202,377.44,378.44, That is loop.,"10 _Video, Audio & Media in HTML .mp3.json"
203,378.44,379.44, What will loop do?,"10 _Video, Audio & Media in HTML .mp3.json"
204,379.44,380.44, It will repeat.,"10 _Video, Audio & Media in HTML .mp3.json"
205,380.44,382.44, If I want to loop it.,"10 _Video, Audio & Media in HTML .mp3.json"
206,382.44,383.44, So I have autoplayed.,"10 _Video, Audio & Media in HTML .mp3.json"
207,383.44,384.44, And I will loop it.,"10 _Video, Audio & Media in HTML .mp3.json"
208,384.44,385.44, What is Sachin in Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
209,385.44,387.44, Is it a stupid Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
210,387.44,388.44, Once.,"10 _Video, Audio & Media in HTML .mp3.json"
211,388.44,389.44, What is Sachin in Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
212,389.44,390.44, Second time.,"10 _Video, Audio & Media in HTML .mp3.json"
213,390.44,391.44, Is it a stupid Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
214,391.44,392.44, So you saw it was repeated.,"10 _Video, Audio & Media in HTML .mp3.json"
215,392.44,393.44, Means it was played once.,"10 _Video, Audio & Media in HTML .mp3.json"
216,393.44,394.44, Then it was played again.,"10 _Video, Audio & Media in HTML .mp3.json"
217,394.44,396.44, Because I had looped the audio.,"10 _Video, Audio & Media in HTML .mp3.json"
218,396.44,397.44, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
219,397.44,398.44, So you guys have seen this thing.,"10 _Video, Audio & Media in HTML .mp3.json"
220,398.44,399.44, Sachin.mp3.,"10 _Video, Audio & Media in HTML .mp3.json"
221,399.44,400.44, I looped it.,"10 _Video, Audio & Media in HTML .mp3.json"
222,400.44,401.44, Means it was played once.,"10 _Video, Audio & Media in HTML .mp3.json"
223,401.44,402.44, Then it was played.,"10 _Video, Audio & Media in HTML .mp3.json"
224,402.44,403.44, What is Sachin?,"10 _Video, Audio & Media in HTML .mp3.json"
225,403.44,404.44, Sachin.,"10 _Video, Audio & Media in HTML .mp3.json"
226,404.44,405.44, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
227,405.44,406.44, It was being said again and again.,"10 _Video, Audio & Media in HTML .mp3.json"
228,406.44,407.44, Because this MP3.,"10 _Video, Audio & Media in HTML .mp3.json"
229,407.44,408.44, It will be played again and again.,"10 _Video, Audio & Media in HTML .mp3.json"
230,408.44,410.44, So there are many use cases.,"10 _Video, Audio & Media in HTML .mp3.json"
231,410.44,411.44, When you want.,"10 _Video, Audio & Media in HTML .mp3.json"
232,411.44,412.44, This MP3.,"10 _Video, Audio & Media in HTML .mp3.json"
233,412.44,413.44, This is repeat.,"10 _Video, Audio & Media in HTML .mp3.json"
234,413.44,414.44, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
235,414.44,415.44, So if you want.,"10 _Video, Audio & Media in HTML .mp3.json"
236,415.44,416.44, That your MP3 is repeat.,"10 _Video, Audio & Media in HTML .mp3.json"
237,416.44,417.44, Then you can use it.,"10 _Video, Audio & Media in HTML .mp3.json"
238,417.44,418.44, Now.,"10 _Video, Audio & Media in HTML .mp3.json"
239,418.44,419.44, After this.,"10 _Video, Audio & Media in HTML .mp3.json"
240,419.44,420.44, What will mutate do?,"10 _Video, Audio & Media in HTML .mp3.json"
241,420.44,421.44, It will mute the audio.,"10 _Video, Audio & Media in HTML .mp3.json"
242,421.44,422.44, And definitely.,"10 _Video, Audio & Media in HTML .mp3.json"
243,422.44,423.44, You don't want.,"10 _Video, Audio & Media in HTML .mp3.json"
244,423.44,424.44, That by default.,"10 _Video, Audio & Media in HTML .mp3.json"
245,424.44,425.44, Your audio is mute.,"10 _Video, Audio & Media in HTML .mp3.json"
246,425.44,426.44, Most of the cases.,"10 _Video, Audio & Media in HTML .mp3.json"
247,426.44,427.44, But.,"10 _Video, Audio & Media in HTML .mp3.json"
248,427.44,428.44, Sometimes we will want.,"10 _Video, Audio & Media in HTML .mp3.json"
249,428.44,429.44, That.,"10 _Video, Audio & Media in HTML .mp3.json"
250,429.44,430.44, The audio is muted.,"10 _Video, Audio & Media in HTML .mp3.json"
251,430.44,431.44, And we can say here.,"10 _Video, Audio & Media in HTML .mp3.json"
252,431.44,432.44, To the user.,"10 _Video, Audio & Media in HTML .mp3.json"
253,432.44,433.44, That brother.,"10 _Video, Audio & Media in HTML .mp3.json"
254,433.44,434.44, Who wants to listen.,"10 _Video, Audio & Media in HTML .mp3.json"
255,434.44,435.44, Unmute.,"10 _Video, Audio & Media in HTML .mp3.json"
256,435.44,436.44, Sachin.,"10 _Video, Audio & Media in HTML .mp3.json"
257,436.44,437.44, What is it?,"10 _Video, Audio & Media in HTML .mp3.json"
258,437.44,438.44, When do we do this?,"10 _Video, Audio & Media in HTML .mp3.json"
259,438.44,439.44, When there are multiple audios.,"10 _Video, Audio & Media in HTML .mp3.json"
260,439.44,440.44, You want to show 5-6 audios together.,"10 _Video, Audio & Media in HTML .mp3.json"
261,440.44,441.44, You can mute them.,"10 _Video, Audio & Media in HTML .mp3.json"
262,441.44,442.44, The user can play and unmute.,"10 _Video, Audio & Media in HTML .mp3.json"
263,442.44,443.44, And see.,"10 _Video, Audio & Media in HTML .mp3.json"
264,443.44,444.44, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
265,444.44,445.44, So.,"10 _Video, Audio & Media in HTML .mp3.json"
266,445.44,446.44, You have control in your hand.,"10 _Video, Audio & Media in HTML .mp3.json"
267,446.44,447.44, If you want.,"10 _Video, Audio & Media in HTML .mp3.json"
268,447.44,448.44, You can use this thing.,"10 _Video, Audio & Media in HTML .mp3.json"
269,448.44,449.44, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
270,449.44,450.44, In total.,"10 _Video, Audio & Media in HTML .mp3.json"
271,450.44,451.44, This is the thing.,"10 _Video, Audio & Media in HTML .mp3.json"
272,451.44,452.44, So.,"10 _Video, Audio & Media in HTML .mp3.json"
273,452.44,453.44, I hope.,"10 _Video, Audio & Media in HTML .mp3.json"
274,453.44,454.44, You understood this thing.,"10 _Video, Audio & Media in HTML .mp3.json"
275,454.44,455.44, You guys must have enjoyed.,"10 _Video, Audio & Media in HTML .mp3.json"
276,455.44,456.44, You guys.,"10 _Video, Audio & Media in HTML .mp3.json"
277,456.44,457.44, Now preload.,"10 _Video, Audio & Media in HTML .mp3.json"
278,457.44,458.44, The most confusing attribute.,"10 _Video, Audio & Media in HTML .mp3.json"
279,458.44,459.44, That's why I have explained it.,"10 _Video, Audio & Media in HTML .mp3.json"
280,459.44,460.44, On codewithaddy.com.,"10 _Video, Audio & Media in HTML .mp3.json"
281,460.44,461.44, These values can be.,"10 _Video, Audio & Media in HTML .mp3.json"
282,461.44,462.44, The first value can be none.,"10 _Video, Audio & Media in HTML .mp3.json"
283,462.44,463.44, This is the default value.,"10 _Video, Audio & Media in HTML .mp3.json"
284,463.44,464.44, It indicates.,"10 _Video, Audio & Media in HTML .mp3.json"
285,464.44,465.44, That the browser should not.,"10 _Video, Audio & Media in HTML .mp3.json"
286,465.44,466.44, Preload the audio at all.,"10 _Video, Audio & Media in HTML .mp3.json"
287,466.44,467.44, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
288,467.44,468.44, Preload means.,"10 _Video, Audio & Media in HTML .mp3.json"
289,468.44,469.44, If you want.,"10 _Video, Audio & Media in HTML .mp3.json"
290,469.44,470.44, If the browser fetches the data.,"10 _Video, Audio & Media in HTML .mp3.json"
291,470.44,471.44, Then you will use the preload attribute.,"10 _Video, Audio & Media in HTML .mp3.json"
292,471.44,472.44, Otherwise.,"10 _Video, Audio & Media in HTML .mp3.json"
293,472.44,473.44, You will not use the preload attribute.,"10 _Video, Audio & Media in HTML .mp3.json"
294,473.44,474.44, Okay.,"10 _Video, Audio & Media in HTML .mp3.json"
295,474.44,475.44, Preload is equal to none.,"10 _Video, Audio & Media in HTML .mp3.json"
296,475.44,476.44, It is the default value.,"10 _Video, Audio & Media in HTML .mp3.json"
297,476.44,477.44, Preload is equal to metadata.,"10 _Video, Audio & Media in HTML .mp3.json"
298,477.44,478.44, Means.,"10 _Video, Audio & Media in HTML .mp3.json"
299,478.44,479.44, That the browser.,"10 _Video, Audio & Media in HTML .mp3.json"
300,479.44,480.44, Only metadata.,"10 _Video, Audio & Media in HTML .mp3.json"
301,480.44,481.44, That is.,"10 _Video, Audio & Media in HTML .mp3.json"
